fips,cnty_name,st_name,contribution,year
39019,Carroll County,Ohio,27050.79,2017
39021,Champaign County,Ohio,92508.55,2017
39023,Clark County,Ohio,114887.21,2017
39025,Clermont County,Ohio,161907.34,2017
39027,Clinton County,Ohio,92443.34,2017
39029,Columbiana County,Ohio,135869.86,2017
39031,Coshocton County,Ohio,45715.18,2017
39033,Crawford County,Ohio,78415.42,2017
39035,Cuyahoga County,Ohio,4664745.75,2017
39037,Darke County,Ohio,56191.5,2017
39039,Defiance County,Ohio,92230.49,2017
39041,Delaware County,Ohio,2239057.07,2017
39043,Erie County,Ohio,128446.3,2017
39045,Fairfield County,Ohio,143211.16,2017
39047,Fayette County,Ohio,6825,2017
39049,Franklin County,Ohio,14242971.98,2017
39051,Fulton County,Ohio,16962,2017
39053,Gallia County,Ohio,67287.7,2017
39055,Geauga County,Ohio,298250.03,2017
39057,Greene County,Ohio,392214.76,2017
39059,Guernsey County,Ohio,43752,2017
39061,Hamilton County,Ohio,2308466.35,2017
39063,Hancock County,Ohio,605743,2017
39065,Hardin County,Ohio,58338.06,2017
39067,Harrison County,Ohio,33071.08,2017
39069,Henry County,Ohio,590,2017
39071,Highland County,Ohio,105,2017
39073,Hocking County,Ohio,4854,2017
39075,Holmes County,Ohio,4830,2017
39077,Huron County,Ohio,15821.32,2017
39079,Jackson County,Ohio,100863.04,2017
39081,Jefferson County,Ohio,34144.55,2017
39083,Knox County,Ohio,119665.49,2017
39085,Lake County,Ohio,13204,2017
39087,Lawrence County,Ohio,28289.14,2017
39089,Licking County,Ohio,254403.05,2017
39091,Logan County,Ohio,27792,2017
39093,Lorain County,Ohio,452127.57,2017
39095,Lucas County,Ohio,446496.12,2017
39097,Madison County,Ohio,3415,2017
39099,Mahoning County,Ohio,557303.61,2017
39101,Marion County,Ohio,4785,2017
39103,Medina County,Ohio,486032.82,2017
39105,Meigs County,Ohio,8395,2017
39107,Mercer County,Ohio,6500,2017
39109,Miami County,Ohio,64333.93,2017
39111,Monroe County,Ohio,16039,2017
39113,Montgomery County,Ohio,753863.66,2017
39115,Morgan County,Ohio,14629,2017
39117,Morrow County,Ohio,19479,2017
39119,Muskingum County,Ohio,125683.59,2017
39121,Noble County,Ohio,250,2017
39123,Ottawa County,Ohio,71740.06,2017
39125,Paulding County,Ohio,23332.89,2017
39127,Perry County,Ohio,3000,2017
39129,Pickaway County,Ohio,735,2017
39131,Pike County,Ohio,21094.16,2017
39133,Portage County,Ohio,540690.58,2017
39135,Preble County,Ohio,3436,2017
39137,Putnam County,Ohio,27177,2017
39139,Richland County,Ohio,27915,2017
39141,Ross County,Ohio,5103.41,2017
39143,Sandusky County,Ohio,3389.9,2017
39145,Scioto County,Ohio,45975.91,2017
39147,Seneca County,Ohio,59275.5,2017
39149,Shelby County,Ohio,6709.21,2017
39151,Stark County,Ohio,523940.6,2017
39153,Summit County,Ohio,1019881.72,2017
39155,Trumbull County,Ohio,142807.33,2017
39157,Tuscarawas County,Ohio,30417,2017
39161,Van Wert County,Ohio,8881.93,2017
39163,Vinton County,Ohio,5845,2017
39165,Warren County,Ohio,196414.81,2017
39167,Washington County,Ohio,91500,2017
39169,Wayne County,Ohio,23710,2017
39171,Williams County,Ohio,13215,2017
39173,Wood County,Ohio,147762.57,2017
39175,Wyandot County,Ohio,7575,2017
